 ,Label,Area,X,Y,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Mask of Img00004-1.jpg,89.949,184.864,10.975,34.786,0.934,11.057,1102,54,158.356,10.440,1.006,0.994,0.984
2,Mask of Img00004-1.jpg,37.284,217.499,14.550,22.493,0.926,7.211,1320,107,52.352,6.688,1.015,0.985,0.972
3,Mask of Img00004-1.jpg,21.662,89.612,19.979,17.114,0.929,5.682,536,134,39.174,5.057,1.049,0.953,0.966
4,Mask of Img00004-1.jpg,20.518,191.112,21.343,16.557,0.940,5.351,1161,118,127.569,4.894,1.020,0.981,0.969
5,Mask of Img00004-1.jpg,23.578,302.508,21.651,17.711,0.945,5.747,1840,143,34.592,5.383,1.025,0.976,0.969
6,Mask of Img00004-1.jpg,17.724,285.309,21.558,15.308,0.950,5.025,1741,119,125.754,4.568,1.010,0.990,0.971
7,Mask of Img00004-1.jpg,123.533,273.658,26.789,41.048,0.921,12.920,1654,196,52.696,12.235,1.014,0.986,0.983
8,Mask of Img00004-1.jpg,127.605,254.559,28.245,41.779,0.919,13.060,1546,136,110.472,12.561,1.017,0.984,0.982
9,Mask of Img00004-1.jpg,12.880,46.304,23.984,13.081,0.946,4.408,273,155,38.991,3.915,1.059,0.944,0.963
10,Mask of Img00004-1.jpg,137.372,86.217,28.693,43.450,0.914,13.528,505,210,56.310,13.051,1.011,0.989,0.982
11,Mask of Img00004-1.jpg,55.406,75.484,27.117,27.371,0.929,8.842,442,150,142.496,7.993,1.039,0.963,0.978
12,Mask of Img00004-1.jpg,25.707,174.705,27.613,18.459,0.948,5.974,1061,154,124.992,5.546,1.007,0.993,0.974
13,Mask of Img00004-1.jpg,23.738,194.246,27.418,17.767,0.945,5.809,1180,154,128.157,5.220,1.022,0.978,0.974
14,Mask of Img00004-1.jpg,8.489,94.909,26.463,10.526,0.963,3.622,573,169,35.838,3.100,1.075,0.930,0.959
15,Mask of Img00004-1.jpg,24.696,45.224,28.850,18.228,0.934,5.938,267,192,52.815,5.383,1.034,0.967,0.970
16,Mask of Img00004-1.jpg,19.640,145.977,29.131,16.192,0.941,5.351,882,189,37.569,4.731,1.037,0.965,0.971
17,Mask of Img00004-1.jpg,91.226,58.148,37.820,35.247,0.923,11.094,337,204,126.027,10.604,1.009,0.991,0.981
18,Mask of Img00004-1.jpg,33.984,236.999,44.787,21.340,0.938,6.923,1441,292,55.561,6.362,1.013,0.988,0.977
19,Mask of Img00004-1.jpg,22.088,54.677,49.031,17.114,0.948,5.710,321,311,36.870,5.057,1.066,0.938,0.971
20,Mask of Img00004-1.jpg,101.578,227.832,57.782,37.149,0.925,11.724,1385,320,111.209,10.930,1.035,0.966,0.982
21,Mask of Img00004-1.jpg,97.720,281.568,64.102,36.592,0.917,11.490,1699,371,141.340,10.930,1.003,0.997,0.981
22,Mask of Img00004-1.jpg,14.530,252.600,68.015,13.868,0.949,4.571,1541,405,124.824,4.078,1.038,0.963,0.966
23,Mask of Img00004-1.jpg,13.572,196.259,72.703,13.407,0.949,4.438,1196,434,126.027,3.915,1.035,0.967,0.967
24,Mask of Img00004-1.jpg,14.557,219.999,89.254,13.964,0.938,4.637,1340,536,129.289,4.078,1.040,0.961,0.965
25,Mask of Img00004-1.jpg,425.900,194.535,99.177,76.796,0.907,23.958,1145,664,49.695,23.070,1.033,0.968,0.989
26,Mask of Img00004-1.jpg,224.846,267.418,97.211,55.417,0.920,17.330,1593,623,33.092,16.639,1.021,0.980,0.986
27,Mask of Img00004-1.jpg,102.989,114.850,98.269,37.706,0.910,11.910,696,567,103.465,11.093,1.040,0.962,0.980
28,Mask of Img00004-1.jpg,26.266,232.181,95.866,18.865,0.927,6.167,1409,600,37.476,5.652,1.086,0.921,0.967
29,Mask of Img00004-1.jpg,25.548,256.010,101.224,18.515,0.937,6.038,1558,606,128.418,5.383,1.016,0.985,0.974
30,Mask of Img00004-1.jpg,65.173,101.071,103.727,29.773,0.924,9.411,604,612,123.690,8.972,1.011,0.989,0.977
31,Mask of Img00004-1.jpg,24.377,134.034,103.753,18.133,0.932,5.893,808,648,41.634,5.383,1.041,0.961,0.968
32,Mask of Img00004-1.jpg,56.843,276.428,106.138,27.680,0.932,8.847,1685,625,112.782,8.320,1.014,0.986,0.978
33,Mask of Img00004-1.jpg,163.957,110.709,110.758,47.540,0.912,14.853,651,643,128.758,14.192,1.018,0.983,0.983
34,Mask of Img00004-1.jpg,157.570,255.821,111.190,46.331,0.922,14.609,1544,719,60.573,13.703,1.029,0.972,0.985
35,Mask of Img00004-1.jpg,19.799,124.236,106.859,16.287,0.938,5.452,751,668,51.072,4.731,1.058,0.945,0.971
36,Mask of Img00004-1.jpg,78.399,229.819,109.800,32.789,0.916,10.344,1389,698,52.046,9.788,1.022,0.979,0.978
37,Mask of Img00004-1.jpg,22.727,308.282,107.837,17.441,0.939,5.710,1879,675,53.130,5.220,1.022,0.979,0.971
